町丁字名,世帯数,総数,0 ～,5 ～,10～,15～,20～,25～,30～,35～,40～,45～,50～,55～,60～,65～,70～,75～,80～,85～,90～,95～,100歳
串崎新田,963,"1,817",37,46,40,61,107,138,102,76,110,136,152,152,104,93,94,147,140,53,27,2,－
高柳新田,142,352,14,14,22,27,18,18,17,16,17,27,43,30,20,17,18,15,10,4,4,1,－
松飛台,"3,746","7,962",231,336,338,397,516,420,328,437,424,628,770,617,444,319,381,506,472,282,89,22,5
高柳,9,20,－,－,－,1,1,1,－,6,1,－,2,2,3,－,1,1,－,1,－,－,－
串崎南町,800,"1,645",60,60,69,71,85,91,89,76,92,138,147,123,77,79,85,136,98,47,15,7,－
六高台1丁目,333,690,23,21,21,21,36,40,32,34,34,27,49,61,59,58,54,60,41,14,3,2,－
六高台2丁目,710,"1,440",39,41,45,67,61,47,58,57,85,92,110,88,95,106,144,146,73,55,19,9,3
六高台3丁目,551,"1,239",48,51,88,69,81,49,65,72,82,88,118,82,48,53,71,76,62,27,7,1,1
六高台4丁目,762,"1,611",38,59,63,85,64,60,59,91,93,139,105,120,95,97,117,156,99,48,19,4,－
六高台5丁目,"1,014","2,325",74,92,117,126,115,119,116,128,147,161,203,218,131,113,137,131,115,62,20,－,－
六高台6丁目,503,"1,100",42,28,38,49,45,38,52,50,57,63,83,82,87,54,71,87,73,68,24,9,－
六高台7丁目,"1,369","2,764",43,51,62,110,104,124,122,104,103,161,195,272,370,317,212,190,126,65,26,6,1
六高台8丁目,"1,071","2,552",28,70,107,117,161,139,93,83,122,128,226,341,262,165,171,157,107,46,26,3,－
六高台9丁目,502,"1,053",31,18,40,59,63,42,44,37,49,48,90,105,76,68,68,95,65,35,13,7,－
六実1丁目,571,"1,227",39,51,51,42,42,58,56,73,77,88,88,91,80,68,72,107,74,45,18,5,2
六実2丁目,634,"1,389",58,58,66,70,62,79,89,77,97,106,102,94,74,51,69,93,67,50,24,3,－
六実3丁目,810,"1,577",44,53,59,54,69,107,111,88,87,115,132,126,111,78,96,92,83,48,19,5,－
六実4丁目,464,754,18,16,11,17,53,83,52,44,36,50,49,64,56,42,38,41,31,31,16,5,1
六実5丁目,435,867,26,26,33,44,52,56,59,43,54,52,79,76,62,42,45,52,31,22,12,1,－
六実6丁目,770,"1,577",44,39,63,76,112,113,87,97,79,93,137,142,98,109,84,82,62,44,12,4,－
六実7丁目,104,200,4,4,6,7,9,8,12,5,11,14,18,14,7,10,27,20,13,9,2,－,－
五香1丁目,769,"1,493",32,40,50,92,84,72,67,67,81,145,157,107,100,85,87,89,73,42,16,7,－
五香2丁目,981,"2,139",65,100,98,81,94,110,104,121,155,125,179,171,120,120,121,124,110,87,46,8,－
五香3丁目,555,"1,276",52,73,65,45,58,38,68,79,95,88,83,105,73,73,67,88,66,33,21,6,－
五香4丁目,"1,170","2,718",123,115,131,142,146,134,153,191,159,189,278,186,129,122,130,128,137,79,36,8,2
五香5丁目,270,544,16,11,15,15,33,30,39,36,28,26,55,33,34,25,39,43,29,27,7,3,－
五香6丁目,570,"1,107",37,37,37,44,28,48,52,64,54,71,82,82,94,68,59,78,71,60,34,6,1
五香7丁目,"1,111","2,446",144,108,116,110,105,163,193,175,167,170,196,153,100,99,111,129,114,62,21,9,1
五香8丁目,484,"1,079",60,59,49,41,33,49,69,74,74,89,85,67,61,51,71,61,49,21,13,3,－
五香南1丁目,468,836,16,20,21,23,46,63,38,44,41,51,74,89,70,60,43,52,48,21,15,1,－
五香南2丁目,"1,066","1,991",38,50,74,68,80,110,104,103,93,132,153,180,133,152,165,156,87,69,34,8,2
五香南3丁目,616,"1,157",34,41,41,43,64,84,57,59,68,84,107,91,55,52,61,68,85,42,16,5,－
五香西1丁目,837,"1,539",36,42,50,70,86,74,91,73,76,112,145,120,126,85,87,97,79,55,30,5,－
五香西2丁目,"1,299","2,732",88,104,144,122,121,152,149,153,168,214,225,185,142,115,161,192,162,85,37,12,1
五香西3丁目,849,"2,177",113,125,161,111,106,97,116,141,192,160,185,138,104,94,121,85,71,33,17,7,－
五香西4丁目,297,703,19,46,33,34,36,26,25,35,35,58,68,58,35,24,36,47,50,23,13,1,1
五香西5丁目,187,392,20,38,30,20,12,8,13,32,33,29,14,16,11,5,15,22,23,18,23,9,1
五香西6丁目,134,395,16,52,38,32,11,6,8,46,40,40,26,17,8,6,15,17,9,4,4,－,－
六高台西,173,334,5,9,9,17,18,12,11,12,19,22,32,26,13,25,14,23,42,18,5,1,1
小金,"2,265","4,263",123,138,131,174,237,300,248,259,248,278,377,336,308,224,234,235,189,142,58,23,1
小金清志町1丁目,223,427,14,11,23,15,24,25,22,22,40,28,28,35,28,35,27,17,15,13,3,1,1
小金清志町2丁目,476,949,28,24,44,55,73,59,45,58,52,73,75,66,64,53,41,50,40,32,11,5,1
小金清志町3丁目,625,954,32,25,21,37,90,102,79,50,61,52,70,70,54,42,33,54,33,33,12,4,－
小金きよしケ丘1丁目,501,893,27,32,29,30,66,81,74,67,60,51,85,66,55,33,45,33,32,16,9,2,－
小金きよしケ丘2丁目,539,"1,008",30,41,30,30,70,65,69,52,54,70,74,92,63,54,49,84,38,29,12,2,－
小金きよしケ丘3丁目,695,"1,429",46,74,73,68,72,72,66,78,122,134,140,116,75,56,76,61,45,35,15,4,1
小金きよしケ丘4丁目,350,629,8,17,22,19,32,22,31,37,30,42,58,44,35,47,46,57,45,19,9,6,3
小金きよしケ丘5丁目,166,310,6,9,17,8,12,20,22,16,24,18,20,21,19,19,23,19,22,12,2,－,1
二ツ木,"2,692","5,518",161,229,241,240,374,377,330,352,368,363,511,443,359,248,266,287,200,112,45,12,－
大谷口,"1,941","3,810",212,187,91,101,259,317,387,344,250,213,268,268,216,172,161,135,106,68,41,10,4
幸田,38,38,－,－,－,－,－,－,－,－,－,－,－,－,－,－,2,4,6,16,8,2,－
中金杉,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
平賀,"1,164","2,416",77,120,97,91,93,116,141,144,145,160,180,177,155,123,151,180,138,91,31,5,1
殿平賀,"1,528","2,918",94,90,104,125,185,217,190,173,186,233,241,217,174,170,156,147,102,64,32,18,－
東平賀,"2,263","4,098",135,140,140,111,231,331,325,275,251,275,322,295,268,177,219,222,172,147,52,10,－
久保平賀,737,"1,413",57,43,37,22,69,97,108,115,86,87,104,87,88,100,112,93,52,36,17,2,1
根木内,"2,079","4,068",108,123,150,222,263,287,245,240,227,297,347,316,218,182,218,205,191,145,60,19,5
小金上総町,633,"1,280",43,61,64,47,77,69,75,85,97,83,88,93,78,48,59,78,58,45,26,6,－
横須賀1丁目,640,"1,343",59,71,83,66,83,94,87,106,118,98,91,83,66,52,63,55,32,16,14,5,1
横須賀2丁目,867,"1,774",91,72,80,66,106,141,139,184,136,133,148,106,93,78,63,78,40,12,6,2,－
中金杉1丁目,337,862,33,44,45,45,45,27,37,50,48,72,67,57,52,43,57,50,49,23,16,2,－
中金杉2丁目,156,318,8,6,14,10,25,10,12,8,16,17,30,34,22,16,19,22,27,12,9,1,－
中金杉3丁目,269,557,17,20,18,13,30,33,31,31,24,33,34,61,43,24,34,58,26,15,9,3,－
中金杉4丁目,282,617,17,17,21,23,21,24,25,28,37,41,39,42,41,44,51,60,52,23,9,1,1
中金杉5丁目,211,512,8,21,32,52,36,10,20,18,35,47,49,36,25,22,31,28,23,12,5,1,1
新松戸南1丁目,"1,392","2,646",100,80,77,102,219,215,216,161,178,173,216,196,158,112,137,139,105,40,13,9,－
新松戸南2丁目,750,"1,519",53,55,46,60,77,81,88,75,95,88,110,88,90,97,112,131,104,48,17,4,－
新松戸南3丁目,785,"1,955",85,150,130,112,97,92,115,151,154,163,154,125,79,59,73,88,82,32,10,4,－
新松戸北1丁目,"1,125","2,020",82,60,51,54,114,163,145,147,115,113,127,136,133,110,115,146,119,65,18,4,3
新松戸北2丁目,"1,260","2,411",64,100,102,89,154,168,125,125,157,168,185,136,120,109,166,210,141,59,27,5,1
幸田1丁目,266,704,63,47,43,26,24,47,58,67,44,51,49,21,33,24,18,37,27,18,6,1,－
幸田2丁目,429,900,25,36,23,48,46,48,41,37,52,65,67,71,40,33,63,89,71,30,13,2,－
幸田3丁目,342,714,22,27,29,29,39,39,29,39,40,32,45,41,45,31,59,77,54,27,8,1,1
幸田4丁目,162,406,37,27,14,8,19,39,32,36,19,20,18,33,17,10,19,25,16,15,2,－,－
幸田5丁目,501,"1,120",41,66,53,45,48,52,58,81,77,81,93,75,55,51,58,77,59,36,10,4,－
二ツ木二葉町,291,545,11,9,13,28,34,49,23,22,22,36,40,65,54,28,23,26,36,16,6,4,－
大金平1丁目,388,777,32,21,25,33,43,63,53,32,56,49,75,80,55,34,32,46,31,11,5,1,－
大金平2丁目,478,928,25,30,38,55,58,54,62,44,66,71,113,73,41,34,36,35,46,28,14,4,1
大金平3丁目,386,728,25,23,23,27,56,60,50,35,38,40,57,51,44,30,32,52,45,29,9,2,－
大金平4丁目,664,"1,312",45,52,58,55,79,73,67,75,82,71,132,110,68,56,75,84,73,39,15,3,－
